vehicle,arm,episode,Sharpe,CAGR,Martin,MaxDD,MeanW,Turnover/yr,group,Return,peak,trough,react_day,DD_before_reaction,days_peak_to_trough,w_at_peak,panel
P0 MKT,incumbent,FULL,0.6000682581147649,0.07584971353337155,1.184939619974874,-0.30925589783833873,0.5236055708031601,2.2723784277420433,,,,,,,,,P0
P0 MKT,incumbent,E_bear_2018q4,-1.6344304427900773,,,-0.06802206002059918,,,modern_folds,-0.04015215952754003,2018-09-20,2018-10-11,,-0.06802206002059918,16.0,1.0,P0
P0 MKT,incumbent,X_2020_covid,1.1987557680219754,,,-0.08222259128229248,,,modern_folds,0.10146292371989252,2020-02-19,2020-02-28,2020-02-28,-0.08222259128229248,8.0,0.8557398502655108,P0
P0 MKT,incumbent,B_bear_2022,-2.1679328200035846,,,-0.05494146463440286,,,modern_folds,-0.04066054472919389,2022-01-03,2022-08-24,2022-01-20,-0.03593083037600775,162.0,0.5565109065486581,P0
P0 MKT,incumbent,E1973_oil_bear,-1.9165370400446016,,,-0.11580341132620231,,,market_factor_A0_calendar,-0.018293164040985244,1973-01-11,1973-11-07,1973-03-23,-0.11253756667842119,209.0,1.0,P0
P0 MKT,incumbent,E1987_crash,-0.6242441629408162,,,-0.06139283765887882,,,market_factor_A0_calendar,0.004397020580227284,1987-08-25,1987-10-13,1987-09-21,-0.05341560040762228,35.0,0.8620315890779868,P0
P0 MKT,incumbent,E1990_recession,0.09764324854939462,,,-0.03576539262682721,,,market_factor_A0_calendar,0.06371655242543595,1990-07-16,1990-07-27,,-0.03576539262682721,10.0,0.8494312885800077,P0
P0 MKT,incumbent,E1997_asia,0.423927167733965,,,-0.0704397198003236,,,market_factor_A0_calendar,0.05507963516606429,1997-10-07,1997-10-27,,-0.0704397198003236,15.0,0.6988347731516081,P0
P0 MKT,incumbent,E1998_ltcm,-0.11258085685269793,,,-0.07870826999375069,,,market_factor_A0_calendar,0.01782558795722422,1998-07-17,1998-08-05,1998-08-05,-0.07870826999375069,14.0,0.7306490263121221,P0
P0 MKT,incumbent,E2000_02_dotcom,-0.7073626800980651,,,-0.03010624145117835,,,market_factor_A0_calendar,0.07930241579013408,2000-07-03,2000-07-27,2000-07-07,-0.006800686721731286,18.0,0.42455999175653913,P0
P0 MKT,incumbent,E2007_09_gfc,-0.32074741500009324,,,-0.0855485734775463,,,market_factor_A0_calendar,-0.0066214996659770264,2007-10-09,2008-01-22,,-0.0855485734775463,72.0,0.6139776556004788,P0
P0 MKT,incumbent,E2011_eu_us,-1.0856867979269482,,,-0.11759029282910527,,,market_factor_A0_calendar,-0.08131235501170064,2011-05-02,2011-10-03,2011-08-05,-0.0869103455452741,108.0,0.9096460222973562,P0
P0 MKT,incumbent,E2015_16_china,,,,0.0,,,market_factor_A0_calendar,0.0,2015-06-01,2015-06-01,,0.0,1.0,0.0,P0
P0 MKT,incumbent,K1995_99_bull,1.0757924613613357,,,-0.10321033558536352,,,calm_controls,1.0222650735715235,1999-07-16,1999-10-15,1999-08-10,-0.061904514262706045,65.0,0.6785500668650531,P0
P0 MKT,incumbent,K2013_14_bull,1.2560083382339036,,,-0.05282843058320319,,,calm_controls,0.2558956324864945,2014-01-15,2014-02-03,,-0.05282843058320319,13.0,1.0,P0
P0 MKT,incumbent,A_bull_2021,1.2621937619180383,,,-0.04841861911750178,,,calm_controls,0.13283476056786836,2021-11-08,2021-12-01,,-0.04841861911750178,17.0,0.8683414935778978,P0
P0 MKT,incumbent,D_recent_2025plus,0.6196015458565328,,,-0.07297460621852914,,,calm_controls,0.15497194002973536,2025-02-19,2025-03-14,2025-03-14,-0.07297460621852914,18.0,0.7565083526360216,P0
P0 MKT,H_parity,FULL,0.6039790812039639,0.05358553289480161,1.8235085286044903,-0.1565254211605911,0.2574651729677401,1.2735578744820661,,,,,,,,,P0
P0 MKT,H_parity,E_bear_2018q4,-1.6565542981098675,,,-0.03310801267340446,,,modern_folds,-0.01379413619382508,2018-09-20,2018-10-11,,-0.03310801267340446,16.0,0.49962031612165597,P0
P0 MKT,H_parity,X_2020_covid,1.1912668186267046,,,-0.040445163350303015,,,modern_folds,0.05118498688034023,2020-02-19,2020-02-28,2020-02-28,-0.040445163350303015,8.0,0.4274118415370633,P0
P0 MKT,H_parity,B_bear_2022,-2.1608428906241013,,,-0.026123413394824824,,,modern_folds,-0.013407078218021895,2022-01-03,2022-08-24,2022-01-20,-0.017719093414160447,162.0,0.2744070220773118,P0
P0 MKT,H_parity,E1973_oil_bear,-1.9216735230664206,,,-0.050975060708598696,,,market_factor_A0_calendar,0.06851246948352507,1973-01-11,1973-03-23,1973-03-23,-0.050975060708598696,50.0,0.49898663718340897,P0
P0 MKT,H_parity,E1987_crash,-0.6004660578778814,,,-0.026785516795838182,,,market_factor_A0_calendar,0.0157744999890832,1987-08-25,1987-10-12,1987-09-21,-0.025691795018507713,34.0,0.4294958014486172,P0
P0 MKT,H_parity,E1990_recession,0.09405869050406725,,,-0.016498039565979283,,,market_factor_A0_calendar,0.06223150603254646,1990-07-16,1990-07-27,,-0.016498039565979283,10.0,0.42471564429000386,P0
P0 MKT,H_parity,E1997_asia,0.4060825478991742,,,-0.033764947953200175,,,market_factor_A0_calendar,0.04261469456551703,1997-10-07,1997-10-27,,-0.033764947953200175,15.0,0.34941738657580407,P0
P0 MKT,H_parity,E1998_ltcm,-0.10170916727551556,,,-0.03780906335876255,,,market_factor_A0_calendar,0.021383077760296576,1998-07-17,1998-08-05,1998-08-05,-0.03780906335876255,14.0,0.36532451315606107,P0
P0 MKT,H_parity,E2000_02_dotcom,-0.7114358743330826,,,-0.013561870540466758,,,market_factor_A0_calendar,0.09800294262416331,2000-07-18,2000-07-27,,-0.013561870540466758,8.0,0.0,P0
P0 MKT,H_parity,E2007_09_gfc,-0.3412050290563357,,,-0.038168661306725915,,,market_factor_A0_calendar,0.01059947748815393,2007-10-09,2008-01-22,,-0.038168661306725915,72.0,0.30665237493917774,P0
P0 MKT,H_parity,E2011_eu_us,-1.151593065677303,,,-0.05817040661465933,,,market_factor_A0_calendar,-0.04074053333421612,2011-05-02,2011-10-03,2011-08-05,-0.04316206337589068,108.0,0.4548230111486781,P0
P0 MKT,H_parity,E2015_16_china,,,,0.0,,,market_factor_A0_calendar,0.0,2015-06-01,2015-06-01,,0.0,1.0,0.0,P0
P0 MKT,H_parity,K1995_99_bull,1.0759910625160423,,,-0.04490555519580408,,,calm_controls,0.6143747150955605,1999-07-16,1999-10-15,1999-08-10,-0.029097634170882625,65.0,0.33927503343252663,P0
P0 MKT,H_parity,K2013_14_bull,1.2379370643853533,,,-0.026316250149343023,,,calm_controls,0.1198516862572816,2014-01-15,2014-02-03,,-0.026316250149343023,13.0,0.49857940296861775,P0
P0 MKT,H_parity,A_bull_2021,1.240376617398763,,,-0.024138091350371593,,,calm_controls,0.06374810802825803,2021-11-08,2021-12-01,,-0.024138091350371593,17.0,0.4341707467889489,P0
P0 MKT,H_parity,D_recent_2025plus,0.6054409814759788,,,-0.03459838956621397,,,calm_controls,0.11100605908284522,2025-02-19,2025-03-13,,-0.03459838956621397,17.0,0.3782541763180108,P0
P0 MKT,H_full,FULL,0.6016378978496612,0.07395430421438909,1.2311845394625884,-0.28026589770088484,0.5032128788035963,2.816081712076293,,,,,,,,,P0
P0 MKT,H_full,E_bear_2018q4,-1.6831662396812224,,,-0.0656241655886124,,,modern_folds,-0.039220974056059066,2018-09-20,2018-10-11,,-0.0656241655886124,16.0,0.9961552154683442,P0
P0 MKT,H_full,X_2020_covid,1.1742041610137013,,,-0.07832019408426971,,,modern_folds,0.09486596181133056,2020-02-19,2020-02-28,2020-02-28,-0.07832019408426971,8.0,0.8537767295229757,P0
P0 MKT,H_full,B_bear_2022,-2.15356289027991,,,-0.05174205712353963,,,modern_folds,-0.03752841771958382,2022-01-03,2022-08-24,2022-01-20,-0.03446417441140692,162.0,0.5399167337497759,P0
P0 MKT,H_full,E1973_oil_bear,-1.9254099277059031,,,-0.10406161655070656,,,market_factor_A0_calendar,-0.0031791258285884805,1973-01-11,1973-03-23,1973-03-23,-0.10406161655070656,50.0,0.9951872821035488,P0
P0 MKT,H_full,E1987_crash,-0.5702983835707928,,,-0.05892132145860296,,,market_factor_A0_calendar,0.006661622060070815,1987-08-25,1987-10-13,1987-09-21,-0.05168831418739506,35.0,0.8556773475323269,P0
P0 MKT,H_full,E1990_recession,0.08403051314028243,,,-0.03507044721376906,,,market_factor_A0_calendar,0.06301039889846516,1990-07-16,1990-07-27,,-0.03507044721376906,10.0,0.8463492009153776,P0
P0 MKT,H_full,E1997_asia,0.3802362868527285,,,-0.06861522175320267,,,market_factor_A0_calendar,0.0512875724632722,1997-10-07,1997-10-27,,-0.06861522175320267,15.0,0.6988347731516081,P0
P0 MKT,H_full,E1998_ltcm,-0.1341587286178534,,,-0.07507091216045836,,,market_factor_A0_calendar,0.017432812883358295,1998-07-17,1998-08-05,1998-08-05,-0.07507091216045836,14.0,0.7306490263121221,P0
P0 MKT,H_full,E2000_02_dotcom,-0.7209330176878324,,,-0.028886313908847328,,,market_factor_A0_calendar,0.08013082175447162,2000-07-03,2000-07-27,2000-07-07,-0.006651413873708045,18.0,0.41271862299004064,P0
P0 MKT,H_full,E2007_09_gfc,-0.37151892145811477,,,-0.08129774900387043,,,market_factor_A0_calendar,-0.00860171830495593,2007-10-09,2008-01-22,,-0.08129774900387043,72.0,0.6053640887979556,P0
P0 MKT,H_full,E2011_eu_us,-1.228961745566112,,,-0.11088609802188532,,,market_factor_A0_calendar,-0.08187262719238464,2011-05-02,2011-10-03,2011-08-05,-0.08393586700173516,108.0,0.9096460222973562,P0
P0 MKT,H_full,E2015_16_china,,,,0.0,,,market_factor_A0_calendar,0.0,2015-06-01,2015-06-01,,0.0,1.0,0.0,P0
P0 MKT,H_full,K1995_99_bull,1.062233382196376,,,-0.0959172591636599,,,calm_controls,0.9804350721132962,1999-07-16,1999-10-15,1999-08-10,-0.05946497225405989,65.0,0.6785500668650531,P0
P0 MKT,H_full,K2013_14_bull,1.2122853448429243,,,-0.05165194593493616,,,calm_controls,0.2395704167421282,2014-01-15,2014-02-03,,-0.05165194593493616,13.0,0.9938442875781465,P0
P0 MKT,H_full,A_bull_2021,1.2121409163332013,,,-0.04755181551201659,,,calm_controls,0.12370915851586428,2021-11-08,2021-12-01,,-0.04755181551201659,17.0,0.8683414935778978,P0
P0 MKT,H_full,D_recent_2025plus,0.5743570869481291,,,-0.0699373544216707,,,calm_controls,0.1454652242857557,2026-01-12,2026-03-30,,-0.0699373544216707,54.0,0.925975637615611,P0
P0 MKT,buy_hold,FULL,0.4864384482450142,0.10330665626689273,0.6651078364257976,-0.6547891063332447,1.0,0.0,,,,,,,,,P0
P0 MKT,buy_hold,E_bear_2018q4,-0.39886980097777225,,,-0.20446131952210556,,,modern_folds,-0.03520894824313259,2018-09-20,2018-12-24,,-0.20446131952210556,66.0,1.0,P0
P0 MKT,buy_hold,X_2020_covid,0.8217686448013993,,,-0.34216280934892906,,,modern_folds,0.24075629356217743,2020-02-19,2020-03-23,,-0.34216280934892906,24.0,1.0,P0
P0 MKT,buy_hold,B_bear_2022,-0.8072701695819832,,,-0.25449072389442295,,,modern_folds,-0.19955554850414636,2022-01-03,2022-10-14,,-0.25449072389442295,198.0,1.0,P0
P0 MKT,buy_hold,E1973_oil_bear,-1.7657518863347808,,,-0.4815948240000787,,,market_factor_A0_calendar,-0.4161731093790002,1973-01-11,1974-10-03,,-0.4815948240000787,437.0,1.0,P0
P0 MKT,buy_hold,E1987_crash,-0.964906054069896,,,-0.3311424555262713,,,market_factor_A0_calendar,-0.18292992676970443,1987-08-25,1987-12-04,,-0.3311424555262713,72.0,1.0,P0
P0 MKT,buy_hold,E1990_recession,0.14117432221966128,,,-0.20795377547096017,,,market_factor_A0_calendar,0.0688323213357327,1990-07-16,1990-10-11,,-0.20795377547096017,63.0,1.0,P0
P0 MKT,buy_hold,E1997_asia,0.8938657774443861,,,-0.09915415450873999,,,market_factor_A0_calendar,0.12179254574211273,1997-10-07,1997-10-27,,-0.09915415450873999,15.0,1.0,P0
P0 MKT,buy_hold,E1998_ltcm,0.5031816365443541,,,-0.21919900622835453,,,market_factor_A0_calendar,0.07357763613715718,1998-07-17,1998-10-08,,-0.21919900622835453,59.0,1.0,P0
P0 MKT,buy_hold,E2000_02_dotcom,-0.7094852166109467,,,-0.49225604938802137,,,market_factor_A0_calendar,-0.36617091507350064,2000-03-24,2002-10-09,,-0.49225604938802137,638.0,1.0,P0
P0 MKT,buy_hold,E2007_09_gfc,-0.5536591843744181,,,-0.5456553593385387,,,market_factor_A0_calendar,-0.3549696209582007,2007-10-09,2009-03-09,,-0.5456553593385387,356.0,1.0,P0
P0 MKT,buy_hold,E2011_eu_us,-0.29184440622734364,,,-0.20084582901465742,,,market_factor_A0_calendar,-0.07880665551722632,2011-05-02,2011-10-03,,-0.20084582901465742,108.0,1.0,P0
P0 MKT,buy_hold,E2015_16_china,-0.08760615346229954,,,-0.15527445300139786,,,market_factor_A0_calendar,-0.025770844832090134,2015-06-23,2016-02-11,,-0.15527445300139786,162.0,1.0,P0
P0 MKT,buy_hold,K1995_99_bull,1.3657583114057847,,,-0.2191990062283551,,,calm_controls,2.398112202880352,1998-07-17,1998-10-08,,-0.2191990062283551,59.0,1.0,P0
P0 MKT,buy_hold,K2013_14_bull,1.8252436123021951,,,-0.07750780468545981,,,calm_controls,0.5087578237008581,2014-09-18,2014-10-15,,-0.07750780468545981,20.0,1.0,P0
P0 MKT,buy_hold,A_bull_2021,1.598235839603187,,,-0.054922582069259374,,,calm_controls,0.2384275475481441,2021-02-12,2021-03-04,,-0.054922582069259374,14.0,1.0,P0
P0 MKT,buy_hold,D_recent_2025plus,0.8356674544123726,,,-0.19557597035866303,,,calm_controls,0.30194626995606244,2025-02-19,2025-04-08,,-0.19557597035866303,35.0,1.0,P0
P1 SPY,incumbent,FULL,0.5601905849574929,0.06339514965204929,1.5078832448133084,-0.11175579417970649,0.502644140707619,2.3255470874651722,,,,,,,,,P1
P1 SPY,incumbent,E_bear_2018q4,-1.582510611320116,,,-0.06303971690596899,,,modern_folds,-0.03700135378022129,2018-09-20,2018-10-11,,-0.06303971690596899,16.0,1.0,P1
P1 SPY,incumbent,X_2020_covid,0.8345546984543809,,,-0.0806917317689062,,,modern_folds,0.0713461927188006,2020-02-19,2020-02-28,2020-02-28,-0.0806917317689062,8.0,0.8426847986603313,P1
P1 SPY,incumbent,B_bear_2022,-2.2532504114152827,,,-0.0804431637016031,,,modern_folds,-0.06743775582192502,2022-01-03,2022-08-30,2022-01-26,-0.06228967988497014,166.0,0.5954298883283082,P1
P1 SPY,incumbent,E2000_02_dotcom,-0.6208908493596865,,,-0.00709521586685069,,,market_factor_A0_calendar,0.10834649977743105,2000-03-29,2000-03-31,,-0.00709521586685069,3.0,0.0,P1
P1 SPY,incumbent,E2007_09_gfc,-0.6739389629809593,,,-0.09347710152734479,,,market_factor_A0_calendar,-0.04266079213280993,2007-10-09,2008-03-10,2008-02-21,-0.09176527983442817,105.0,0.6499506812395854,P1
P1 SPY,incumbent,E2011_eu_us,-0.9464773022516008,,,-0.11056782739538507,,,market_factor_A0_calendar,-0.07112501335273014,2011-05-02,2011-10-03,2011-08-05,-0.08039445976079063,108.0,0.8705074715411538,P1
P1 SPY,incumbent,E2015_16_china,,,,0.0,,,market_factor_A0_calendar,0.0,2015-06-01,2015-06-01,,0.0,1.0,0.0,P1
P1 SPY,incumbent,K2013_14_bull,1.3151394416700886,,,-0.06158010805521208,,,calm_controls,0.2681717162794768,2014-09-18,2014-10-16,,-0.06158010805521208,21.0,1.0,P1
P1 SPY,incumbent,A_bull_2021,1.707965985428044,,,-0.045972604264163164,,,calm_controls,0.18276189624528016,2021-09-02,2021-09-30,,-0.045972604264163164,20.0,1.0,P1
P1 SPY,incumbent,D_recent_2025plus,0.5585255386100925,,,-0.07659235852376511,,,calm_controls,0.1628261998604814,2026-01-12,2026-03-31,2026-03-31,-0.07659235852376511,55.0,0.9672243493326175,P1
P1 SPY,H_parity,FULL,0.5499078327221573,0.041767948334628935,2.3397108557256914,-0.05544712562585563,0.2479314760216104,1.3127302870765116,,,,,,,,,P1
P1 SPY,H_parity,E_bear_2018q4,-1.5975752832077066,,,-0.030653401181727657,,,modern_folds,-0.012183047424019988,2018-09-20,2018-10-11,,-0.030653401181727657,16.0,0.5,P1
P1 SPY,H_parity,X_2020_covid,0.8206956711342892,,,-0.03969488990272618,,,modern_folds,0.03668530649189927,2020-02-19,2020-02-28,2020-02-28,-0.03969488990272618,8.0,0.420694397516737,P1
P1 SPY,H_parity,B_bear_2022,-2.2618181320601325,,,-0.03880176674615565,,,modern_folds,-0.02688755559054068,2022-01-03,2022-08-30,2022-01-26,-0.030948863276278438,166.0,0.2970110966504008,P1
P1 SPY,H_parity,E2000_02_dotcom,-0.6208021738687534,,,-0.0033213422120583758,,,market_factor_A0_calendar,0.11260745182283749,2000-03-29,2000-03-30,,-0.0033213422120583758,2.0,0.0,P1
P1 SPY,H_parity,E2007_09_gfc,-0.7006419293152568,,,-0.041234735555401136,,,market_factor_A0_calendar,-0.0073995837916217555,2007-10-09,2008-01-22,,-0.041234735555401136,72.0,0.3241585965516965,P1
P1 SPY,H_parity,E2011_eu_us,-1.0093430208104608,,,-0.054815565800275246,,,market_factor_A0_calendar,-0.035744655501872113,2011-05-02,2011-10-03,2011-08-05,-0.040008677440871776,108.0,0.435253735770577,P1
P1 SPY,H_parity,E2015_16_china,,,,0.0,,,market_factor_A0_calendar,0.0,2015-06-01,2015-06-01,,0.0,1.0,0.0,P1
P1 SPY,H_parity,K2013_14_bull,1.2984447847823573,,,-0.030662272933396406,,,calm_controls,0.1253349573279352,2014-09-18,2014-10-16,,-0.030662272933396406,21.0,0.49932873134747063,P1
P1 SPY,H_parity,A_bull_2021,1.6876371257400855,,,-0.02293484537385526,,,calm_controls,0.08691054303256629,2021-09-02,2021-09-30,,-0.02293484537385526,20.0,0.4996441123291758,P1
P1 SPY,H_parity,D_recent_2025plus,0.5416663450796217,,,-0.034985446748974414,,,calm_controls,0.1185870083606475,2026-01-12,2026-03-31,2026-03-31,-0.034985446748974414,55.0,0.48361217466630874,P1
P1 SPY,H_full,FULL,0.533068063692107,0.05951905391184975,1.44404455675398,-0.10642947645245027,0.486961028875293,2.918594953137048,,,,,,,,,P1
P1 SPY,H_full,E_bear_2018q4,-1.6159483042839067,,,-0.06108653439096723,,,modern_folds,-0.036014657507645986,2018-09-20,2018-10-11,,-0.06108653439096723,16.0,0.9984532004978616,P1
P1 SPY,H_full,X_2020_covid,0.7949333383797129,,,-0.07697187201905042,,,modern_folds,0.064536177542174,2020-02-19,2020-02-28,2020-02-28,-0.07697187201905042,8.0,0.8399620863475663,P1
P1 SPY,H_full,B_bear_2022,-2.27207707277747,,,-0.0763813635596784,,,modern_folds,-0.06333475747693551,2022-01-03,2022-08-30,2022-01-26,-0.059973428249693095,166.0,0.5926116516588801,P1
P1 SPY,H_full,E2000_02_dotcom,-0.6208747307705701,,,-0.006403312180381593,,,market_factor_A0_calendar,0.10911884878947364,2000-03-29,2000-03-31,,-0.006403312180381593,3.0,0.0,P1
P1 SPY,H_full,E2007_09_gfc,-0.7349103170899057,,,-0.08834598351370271,,,market_factor_A0_calendar,-0.0417734106546348,2007-10-09,2008-03-10,2008-02-21,-0.08667569241631812,105.0,0.6393520604219228,P1
P1 SPY,H_full,E2011_eu_us,-1.083559972396414,,,-0.10523438607700253,,,market_factor_A0_calendar,-0.07288128956497975,2011-05-02,2011-10-03,2011-08-05,-0.07832118173569003,108.0,0.8705074715411538,P1
P1 SPY,H_full,E2015_16_china,,,,0.0,,,market_factor_A0_calendar,0.0,2015-06-01,2015-06-01,,0.0,1.0,0.0,P1
P1 SPY,H_full,K2013_14_bull,1.2741061626025671,,,-0.06002056455832694,,,calm_controls,0.25192117927183566,2014-09-18,2014-10-16,,-0.06002056455832694,21.0,0.9971247259530802,P1
P1 SPY,H_full,A_bull_2021,1.6611840228438768,,,-0.04533319643346856,,,calm_controls,0.17328899173190315,2021-09-02,2021-09-30,,-0.04533319643346856,20.0,0.9985747729017043,P1
P1 SPY,H_full,D_recent_2025plus,0.5074313555203879,,,-0.07412171162120418,,,calm_controls,0.15162900737844542,2026-01-12,2026-03-31,2026-03-31,-0.07412171162120418,55.0,0.9672243493326175,P1
P1 SPY,buy_hold,FULL,0.4263049747190626,0.08743986824021444,0.5522313830861791,-0.5519076395778845,1.0,0.0,,,,,,,,,P1
P1 SPY,buy_hold,E_bear_2018q4,-0.3632610096842317,,,-0.19346772332076612,,,modern_folds,-0.030073140367258167,2018-09-20,2018-12-24,,-0.19346772332076612,66.0,1.0,P1
P1 SPY,buy_hold,X_2020_covid,0.6898896052536962,,,-0.33717009273069154,,,modern_folds,0.1837834151663953,2020-02-19,2020-03-23,,-0.33717009273069154,24.0,1.0,P1
P1 SPY,buy_hold,B_bear_2022,-0.7624118230643652,,,-0.24496106785317096,,,modern_folds,-0.18173681501868477,2022-01-03,2022-10-12,,-0.24496106785317096,196.0,1.0,P1
P1 SPY,buy_hold,E2000_02_dotcom,-0.6400991577647525,,,-0.4751088985687627,,,market_factor_A0_calendar,-0.332481412639406,2000-03-24,2002-10-09,,-0.4751088985687627,638.0,1.0,P1
P1 SPY,buy_hold,E2007_09_gfc,-0.5791117207597521,,,-0.5519076395778838,,,market_factor_A0_calendar,-0.3716003700277516,2007-10-09,2009-03-09,,-0.5519076395778838,356.0,1.0,P1
P1 SPY,buy_hold,E2011_eu_us,-0.23910927064804474,,,-0.18488282750672236,,,market_factor_A0_calendar,-0.06501726121979157,2011-05-02,2011-10-03,,-0.18488282750672236,108.0,1.0,P1
P1 SPY,buy_hold,E2015_16_china,0.04804444837712448,,,-0.13016249153689852,,,market_factor_A0_calendar,-0.005822582486583405,2015-07-20,2016-02-11,,-0.13016249153689852,144.0,1.0,P1
P1 SPY,buy_hold,K2013_14_bull,1.8774175647877422,,,-0.07272286528089233,,,calm_controls,0.5012821646476231,2014-09-18,2014-10-16,,-0.07272286528089233,21.0,1.0,P1
P1 SPY,buy_hold,A_bull_2021,2.009568947090926,,,-0.051159167099484426,,,calm_controls,0.2872573304913877,2021-09-02,2021-10-04,,-0.051159167099484426,22.0,1.0,P1
P1 SPY,buy_hold,D_recent_2025plus,0.8559322358980365,,,-0.18754770834024748,,,calm_controls,0.34268161466106584,2025-02-19,2025-04-08,,-0.18754770834024748,35.0,1.0,P1
P1 QQQ,incumbent,FULL,0.8076248430426127,0.08613017735684014,2.3751473069951006,-0.10081139971791064,0.4488509514131246,2.502379755348891,,,,,,,,,P1
P1 QQQ,incumbent,E_bear_2018q4,-2.097147156749041,,,-0.077773821688915,,,modern_folds,-0.07023097100662523,2018-10-01,2018-10-25,2018-10-17,-0.07197371575225175,19.0,0.8238272775061795,P1
P1 QQQ,incumbent,X_2020_covid,1.2176660428908572,,,-0.08916718762840659,,,modern_folds,0.11425387434327994,2020-02-19,2020-04-21,2020-02-28,-0.0763543901895789,44.0,0.6833228976001032,P1
P1 QQQ,incumbent,B_bear_2022,,,,0.0,,,modern_folds,0.012881409782865116,2022-01-03,2022-01-03,,0.0,1.0,0.0,P1
P1 QQQ,incumbent,E2007_09_gfc,0.11362392519288182,,,-0.05609207598589683,,,market_factor_A0_calendar,0.034318737926252174,2007-10-31,2007-11-12,,-0.05609207598589683,9.0,0.5456422373993298,P1
P1 QQQ,incumbent,E2011_eu_us,-0.6757517017505437,,,-0.0820042491242865,,,market_factor_A0_calendar,-0.05128419002913798,2011-05-10,2011-08-19,2011-08-05,-0.06278502292991983,72.0,0.801029998090677,P1
P1 QQQ,incumbent,E2015_16_china,0.10727235442994003,,,-0.015959859743804206,,,market_factor_A0_calendar,0.001977344759943822,2015-06-01,2015-06-09,,-0.015959859743804206,7.0,0.7324856715820257,P1
P1 QQQ,incumbent,K2013_14_bull,1.8771697784649939,,,-0.05127363979186106,,,calm_controls,0.37154456419771864,2014-03-05,2014-04-11,,-0.05127363979186106,28.0,0.699608786235455,P1
P1 QQQ,incumbent,A_bull_2021,0.6473680336820895,,,-0.06505676035102903,,,calm_controls,0.06243072704212782,2021-09-07,2021-10-04,,-0.06505676035102903,20.0,0.8604430461917618,P1
P1 QQQ,incumbent,D_recent_2025plus,0.6115306973730855,,,-0.07702284916298863,,,calm_controls,0.17685893269760444,2026-01-28,2026-03-30,,-0.07702284916298863,43.0,0.7314824073868041,P1
P1 QQQ,H_parity,FULL,0.7989790147209657,0.05141582239429243,3.210566402535421,-0.04595062831444319,0.2213937560306549,1.3873715069407107,,,,,,,,,P1
P1 QQQ,H_parity,E_bear_2018q4,-2.1184082394668162,,,-0.03778426500559451,,,modern_folds,-0.028851143339716945,2018-10-01,2018-10-25,2018-10-17,-0.035387714742124765,19.0,0.4118066289454401,P1
P1 QQQ,H_parity,X_2020_covid,1.2138640536791083,,,-0.04342470299269019,,,modern_folds,0.05728745243229927,2020-02-19,2020-03-09,2020-02-28,-0.03761285131652492,14.0,0.34166144880005167,P1
P1 QQQ,H_parity,B_bear_2022,,,,0.0,,,modern_folds,0.012881409782865116,2022-01-03,2022-01-03,,0.0,1.0,0.0,P1
P1 QQQ,H_parity,E2007_09_gfc,0.11431080044378572,,,-0.027136576027846138,,,market_factor_A0_calendar,0.03135977134382539,2007-10-31,2007-11-12,,-0.027136576027846138,9.0,0.27282111869966497,P1
P1 QQQ,H_parity,E2011_eu_us,-0.7275930605628224,,,-0.040818636376198425,,,market_factor_A0_calendar,-0.025882308826702616,2011-05-10,2011-08-19,2011-08-05,-0.03119794389511643,72.0,0.3978729729876662,P1
P1 QQQ,H_parity,E2015_16_china,0.09828999415404537,,,-0.007946506277398235,,,market_factor_A0_calendar,0.0009507972301503465,2015-06-01,2015-06-09,,-0.007946506277398235,7.0,0.3644104895083108,P1
P1 QQQ,H_parity,K2013_14_bull,1.8617967887124487,,,-0.025593823634372903,,,calm_controls,0.1695243937013291,2014-03-05,2014-04-11,,-0.025593823634372903,28.0,0.3498043931177275,P1
P1 QQQ,H_parity,A_bull_2021,0.6318279588975307,,,-0.03235867981742724,,,calm_controls,0.030679960504689463,2021-09-07,2021-10-04,,-0.03235867981742724,20.0,0.4302215230958809,P1
P1 QQQ,H_parity,D_recent_2025plus,0.5962283448170768,,,-0.036181611471753805,,,calm_controls,0.12544718786090603,2026-01-28,2026-03-30,,-0.036181611471753805,43.0,0.36574120369340213,P1
P1 QQQ,H_full,FULL,0.7831406949376529,0.08130742022298842,2.2680025955953664,-0.0941623958291552,0.4348661037410855,3.048570252935091,,,,,,,,,P1
P1 QQQ,H_full,E_bear_2018q4,-2.143772506491952,,,-0.07480629488334667,,,modern_folds,-0.06775923281953145,2018-10-01,2018-10-25,2018-10-17,-0.06924695577342233,19.0,0.8201968432816761,P1
P1 QQQ,H_full,X_2020_covid,1.2021858238884453,,,-0.08483053854712397,,,modern_folds,0.10678753714262701,2020-02-19,2020-04-21,2020-02-28,-0.07307439951165629,44.0,0.6833228976001032,P1
P1 QQQ,H_full,B_bear_2022,,,,0.0,,,modern_folds,0.012881409782865116,2022-01-03,2022-01-03,,0.0,1.0,0.0,P1
P1 QQQ,H_full,E2007_09_gfc,0.11504458486967474,,,-0.05437690850130639,,,market_factor_A0_calendar,0.034288360648485394,2007-10-31,2007-11-12,,-0.05437690850130639,9.0,0.5456422373993298,P1
P1 QQQ,H_full,E2011_eu_us,-0.788470318057893,,,-0.08017631303468598,,,market_factor_A0_calendar,-0.05433546922139565,2011-05-10,2011-10-03,2011-08-05,-0.06066614509815882,102.0,0.7885628162779756,P1
